date,AUSTRALIA,FRANCE,GERMANY,JAPAN,SWITZERLAND,UNITED KINGDOM
2002-01-31,,,,,,
2002-02-28,,,,,,
2002-03-28,,,,,,
2002-03-29,,,,,,
2002-04-30,-0.01706313862459008,-0.04690687770075819,-0.04798615883225599,0.021371640239380874,-0.0035572353959762992,-0.015478441714351865
2002-05-31,-0.0027204527730010364,-0.0293887472475155,-0.027075370887189476,0.037437278516648576,0.0035099651904475504,-0.01342721305709238
2002-06-27,-0.029272995461228524,,,,,
2002-06-28,,-0.08574745332524958,-0.07310641139026963,-0.08026833280323964,-0.07859084353325818,-0.0858774927206648
2002-07-31,-0.04047397585038193,-0.10541897058117156,-0.11024350542669326,-0.05630345445273133,-0.1317156643675047,-0.09142204784455565
2002-08-30,0.013277370445423098,-0.005855130745450965,-0.004157187379619565,-0.023221412802287955,0.005811602986731446,0.0009883073258621922
2002-09-30,-0.04247346697685439,-0.1499904318783547,-0.2063248841516555,-0.020297294333614824,-0.08851361346068021,-0.11636622269326669
2002-10-31,0.009484179126507453,0.10918864809317608,0.10244854816054128,-0.05981086279692027,0.03130337973379249,0.07264725793125071
2002-11-29,-0.008356587582939001,0.04580573912842212,0.026896985887137737,0.034657709110705315,0.038168151837391306,0.03043206661879161
2002-12-30,,,-0.09929574830549315,-0.052248240902242116,-0.08359177234856952,
2002-12-31,-0.013357774596440386,-0.06868170856261235,,,,-0.05428556803482443
2003-01-31,-0.017296162221446254,-0.04282028876334243,-0.03520151071015498,-0.024918752017541124,-0.04887441642252843,-0.09019443158662699
2003-02-28,-0.05657743980490715,-0.053611446710354116,-0.05428179412828249,-0.0019482346831533048,-0.05217388474741136,0.024978677804239235
2003-03-31,0.03756286824258326,-0.04513451345112873,-0.038377191779521036,-0.030193079630281616,-0.007801649041703218,-0.00646062783804946
2003-04-30,0.04291170869240335,0.11227844618823801,0.1669595727328823,0.016162048808765928,0.12164442562694822,0.08894932318300675
2003-05-30,0.0021866319829382252,0.033262139464900864,0.023016791477393994,0.04947330258208871,0.009345242037941404,0.042226474121974444
2003-06-30,0.015275022481831657,0.03231270177006906,0.06462749304435045,0.07856789649458062,0.03764730520610282,0.0011500879280963439
2003-07-31,0.03245107603016595,0.03561503234284524,0.06036922899725239,0.04157719837508855,0.04896243203048356,0.03404823816488611
2003-08-29,0.024958322400090438,0.03256954834737191,0.009182690815869754,0.06521606421259696,0.022186950052554666,0.010990739243459835
2003-09-30,0.00460416973272193,-0.04233745375124731,-0.04780859782442859,0.02503848971978906,-0.013821735964597237,-0.016015017387270403
2003-10-31,0.03180153786648665,0.06601449754828237,0.09600536817716931,0.027066214458860705,0.04280568442846233,0.04449413793607082
2003-11-28,-0.01941124260529592,0.012501638726202025,0.015351876457192493,-0.03815152602676042,0.018754135144911865,0.012059266080511888
2003-12-30,,,0.03523647785507089,0.042865678715717115,0.025908573817861935,
2003-12-31,0.03230512398786489,0.0320905784051444,,,,0.026453036830873744
2004-01-30,-0.011000733530517559,0.02876190558482916,0.03709781377179011,0.006267583268634747,0.04873817072751141,-0.013566833922871835
2004-02-27,0.025887761445460233,0.025829447557134344,-0.003377096589055162,0.032890817186592036,0.016375254075656098,0.026080601626454758
