date,Australia,Britain,France,Germany,Japan,Switzerland
2002-04,0.5498,1.4598,0.917,0.917,0.00791295746785361,0.6293662282081943
2002-05,0.5682,1.4837,0.9561,0.9561,0.008110925010442816,0.649392817715436
2002-06,0.5538,1.5565,0.9935,0.9935,0.008481828953740953,0.6794401413235494
2002-07,0.5413,1.5368,0.9781,0.9781,0.008403876876480658,0.6679134384183809
2002-08,0.5465,1.5563,0.9806,0.9806,0.008259138737012504,0.6697475051905432
2002-09,0.5502,1.5575,0.9812,0.9812,0.008070523462222283,0.669702652022502
2002-10,0.5613,1.5711,1.0013,1.0013,0.008223149976276212,0.6822213125938055
2002-11,0.5624,1.5863,1.0194,1.0194,0.008203923280191053,0.6950236308034473
2002-12,0.5829,1.6175,1.0622,1.0622,0.00841656615883912,0.726480203414457
2003-01,0.5956,1.6079,1.0785,1.0785,0.008379567597552831,0.7351860020585208
2003-02,0.6015,1.5825,1.0797,1.0797,0.008425515494101718,0.7345379756133392
2003-03,0.61,1.5739,1.0862,1.0862,0.008340631385795905,0.725531451788435
2003-04,0.6468,1.6224,1.1556,1.1556,0.008520202678581319,0.7627183281214248
2003-05,0.6652,1.6609,1.1674,1.1674,0.008451013699093207,0.7578053955744164
2003-06,0.6607,1.6221,1.1365,1.1365,0.008424890834477013,0.7346998751010212
2003-07,0.6518,1.5939,1.1155,1.1155,0.008427269295075777,0.7240605314604301
2003-08,0.6635,1.6155,1.1267,1.1267,0.008710801393728223,0.7276431637924762
2003-09,0.6948,1.6792,1.1714,1.1714,0.009132795411683584,0.7563152321887763
2003-10,0.7158,1.6897,1.171,1.171,0.009159371227483976,0.7508634930169694
2003-11,0.7391,1.7516,1.2298,1.2298,0.009281802006168686,0.7909515146721506
2003-12,0.7717,1.8255,1.2638,1.2638,0.009410126236843466,0.8070373658300378
2004-01,0.777,1.8673,1.264,1.264,0.00937137737693273,0.8033419023136248
2004-02,0.7496,1.8261,1.2261,1.2261,0.009215256409901978,0.7825950853028643
2004-03,0.7443,1.8031,1.1989,1.1989,0.009288811440843274,0.7710694733595498
2004-04,0.7039,1.786,1.2,1.2,0.00891297372455346,0.7788768595685022
2004-05,0.6937,1.8279,1.2146,1.2146,0.009137961284285631,0.7998080460689435
2004-06,0.7161,1.8438,1.2266,1.2266,0.009133496092233698,0.8030838419530999
2004-07,0.7111,1.8203,1.2191,1.2191,0.009071644217371111,0.7922047056959518
2004-08,0.7028,1.7937,1.2224,1.2224,0.009083361643143788,0.7918283316177054
2004-09,0.7337,1.8077,1.2507,1.2507,0.009192570564469794,0.8110300081103
2004-10,0.7704,1.8607,1.2997,1.2997,0.009551189600664763,0.853898044573478
2004-11,0.7675,1.9286,1.3406,1.3406,0.00963294621733468,0.872219799389446
2004-12,0.7668,1.8797,1.3123,1.3123,0.009676701406024715,0.8480325644504749
2005-01,0.7812,1.8871,1.3013,1.3013,0.009528873439408753,0.8390669575432119
2005-02,0.7848,1.9043,1.3185,1.3185,0.009500799492277275,0.8506294658046955
2005-03,0.7738,1.8961,1.2943,1.2943,0.009328897753414844,0.8365400702693659
2005-04,0.7663,1.8559,1.2697,1.2697,0.009381285461259043,0.821557673348669
2005-05,0.7667,1.8177,1.2155,1.2155,0.009195630604162126,0.7895775759968418
2005-06,0.7524,1.7507,1.2041,1.2041,0.008932279919788125,0.772499034376207
2005-07,0.7614,1.7944,1.2295,1.2295,0.009041059973871337,0.7918283316177054
2005-08,0.7651,1.8064,1.2234,1.2234,0.008989652909501164,0.7892036934732856
2005-09,0.7535,1.7651,1.2022,1.2022,0.008705531059158436,0.7763975155279503
2005-10,0.7353,1.7349,1.1789,1.1789,0.008442095665828086,0.7627765064836003
2005-11,0.7423,1.7458,1.1861,1.1861,0.008441497048852631,0.7661074082586379
2005-12,0.7505,1.7686,1.2126,1.2126,0.008659770602676736,0.7829014327096218
2006-01,0.7418,1.748,1.194,1.194,0.008484606802109274,0.7661661048115231
2006-02,0.7266,1.7442,1.2028,1.2028,0.008526762950873908,0.7662835249042146
2006-03,0.7369,1.768,1.2273,1.2273,0.008541934491904381,0.779423226812159
2006-04,0.7639,1.8687,1.2767,1.2767,0.00895010762504419,0.8203445447087776
2006-05,0.7399,1.8435,1.2661,1.2661,0.008724100327153763,0.8116224332440549
2006-06,0.7528,1.8443,1.2681,1.2681,0.008638040201439098,0.8080155138978669
2006-07,0.7631,1.8941,1.281,1.281,0.008626319072015099,0.8118201006656924
2006-08,0.7549,1.8839,1.2722,1.2722,0.008531367706213822,0.8028904054596547
2006-09,0.7544,1.8765,1.2617,1.2617,0.008431063410027907,0.7935248373274083
2006-10,0.7728,1.9125,1.2888,1.2888,0.008523659547990335,0.8093234056328908
2006-11,0.7858,1.9629,1.3205,1.3205,0.008523550570225533,0.8265145879824779
2006-12,0.7826,1.9587,1.2993,1.2993,0.008302399974760703,0.8044405116241653
2007-01,0.783,1.9589,1.308,1.308,0.008298431513459641,0.8069071249899136
2007-02,0.7932,1.9474,1.3246,1.3246,0.008528057308545113,0.8211528986697323
2007-03,0.8273,1.9879,1.3513,1.3513,0.00840813773202256,0.8248102936324646
2007-04,0.8254,1.9842,1.3518,1.3518,0.008279982645156376,0.8189337482597657
2007-05,0.8423,1.9867,1.3421,1.3421,0.008150716529490109,0.8110300081103
2007-06,0.8677,2.0355,1.3726,1.3726,0.008236228202822061,0.8285690612312535
2007-07,0.8291,2.011,1.3626,1.3626,0.008566521178581983,0.8314625426124552
2007-08,0.8461,2.0184,1.391,1.391,0.008692364192674945,0.8437394532568343
2007-09,0.8996,2.0449,1.4233,1.4233,0.008630652106181186,0.8517162081594414
2007-10,0.8961,2.0701,1.4683,1.4683,0.009003096164771065,0.8902341315766047
2007-11,0.8719,2.0161,1.4559,1.4559,0.00889292034611246,0.8770391159445711
2007-12,0.8823,1.9702,1.4728,1.4728,0.009274880562725553,0.9085953116481919
2008-01,0.9133,1.9646,1.4759,1.4759,0.00934317481080071,0.9182736455463728
2008-02,0.9221,2.0015,1.552,1.552,0.009924947546652215,0.9875567845151096
2008-03,0.9309,1.9816,1.5754,1.5754,0.009739213091060668,0.9863878477017163
2008-04,0.9492,1.965,1.5554,1.5554,0.009582261317848399,0.9571209800918836
2008-05,0.9511,1.9664,1.5562,1.5562,0.009353207027625633,0.9642271719217048
2008-06,0.962,1.9888,1.5759,1.5759,0.00935875670788887,0.9724788485850433
2008-07,0.8815,1.8865,1.4955,1.4955,0.009143910521349203,0.9224241306152569
2008-08,0.8168,1.7973,1.4342,1.4342,0.009383081178665126,0.9007386056566384
2008-09,0.687,1.6862,1.3266,1.3266,0.010003411163206653,0.8749671887304226
2008-10,0.6591,1.5327,1.2744,1.2744,0.010312935721534236,0.8396305625524769
2008-11,0.6719,1.4854,1.3511,1.3511,0.010955902492467817,0.876885303402315
2008-12,0.6754,1.4462,1.3244,1.3244,0.01109625445930726,0.8875477056891807
2009-01,0.6504,1.4422,1.2797,1.2797,0.010762432223583071,0.8591803419537761
2009-02,0.6666,1.417,1.305,1.305,0.010219201880333146,0.8654262224145391
2009-03,0.7158,1.4712,1.3199,1.3199,0.010109179134654266,0.8710042679209129
2009-04,0.7648,1.5418,1.3646,1.3646,0.01034720030627713,0.9028530155290719
2009-05,0.8025,1.6369,1.4014,1.4014,0.010350413240248615,0.9251549634563789
2009-06,0.8049,1.6378,1.4092,1.4092,0.01059692477243104,0.9276437847866419
2009-07,0.8353,1.6532,1.4266,1.4266,0.010537729814715097,0.9360666479453337
2009-08,0.8622,1.6323,1.4575,1.4575,0.010955926498880305,0.9623712828409201
2009-09,0.9067,1.6212,1.4821,1.4821,0.011065974231772404,0.9791442279447762
2009-10,0.9197,1.6599,1.4908,1.4908,0.011202297815327882,0.9870693909781859
2009-11,0.9021,1.6226,1.4579,1.4579,0.011117176148320917,0.9707795359673818
2009-12,0.9127,1.6158,1.4266,1.4266,0.010976815867206871,0.9666505558240697
2010-01,0.8857,1.5618,1.368,1.368,0.01109391554202098,0.9326618168252191
2010-02,0.9123,1.5058,1.357,1.357,0.01102340157921251,0.9375585974123383
2010-03,0.9262,1.5332,1.3417,1.3417,0.010700600410689045,0.9354536950420954
2010-04,0.8713,1.4669,1.2563,1.2563,0.010872756134952649,0.8853474988933157
2010-05,0.8539,1.4768,1.2223,1.2223,0.011012500289078133,0.8884940026654821
2010-06,0.8786,1.5304,1.2811,1.2811,0.011428506122822155,0.9496676163342831
2010-07,0.9004,1.5661,1.2903,1.2903,0.011713346303912141,0.9626492106276473
2010-08,0.9398,1.5591,1.3103,1.3103,0.011854366733801896,0.9998000399920016
